Customer_ID,Age,Gender,City,Signup_Date,Loyalty_Status,Total_Orders,Average_Spend,Customer_Lifetime_Value
C100000,34,Male,Delhi NCR,2023-12-02,Silver,7.0,331.3,2319.07
C100001,22,Male,Lucknow,2023-01-21,Gold,6.0,244.12,1464.7
C100002,38,Male,Chennai,2024-10-10,New,5.0,348.9,1744.51
C100003,39,Female,Ahmedabad,2023-05-17,Gold,4.0,328.93,1315.71
C100004,18,Male,Kolkata,2025-04-07,Silver,5.0,415.25,2076.27
C100005,19,Female,Ahmedabad,2024-07-29,Silver,4.0,291.99,1167.96
C100006,32,Male,Bengaluru,2023-03-27,New,4.0,379.76,1519.04
C100007,28,Female,Delhi NCR,2024-02-17,New,4.0,342.94,1371.75
C100008,31,Male,Mumbai,2023-05-25,New,8.0,276.4,2211.19
C100009,23,Female,Mumbai,2025-10-07,New,2.0,536.08,1072.16
C100010,39,Female,Pune,2024-09-02,Silver,6.0,340.44,2042.66
C100011,38,Male,Delhi NCR,2025-04-12,Silver,5.0,238.58,1192.92
C100012,32,Female,Delhi NCR,2024-01-21,Silver,9.0,398.71,3588.35
C100013,41,Male,Pune,2023-06-01,Silver,7.0,278.96,1952.69
C100014,35,Female,Delhi NCR,2023-08-30,Silver,3.0,207.21,621.63
C100015,23,Male,Delhi NCR,2024-03-05,New,6.0,325.93,1955.56
C100016,34,Male,Delhi NCR,2025-03-04,Gold,3.0,280.82,842.46
C100017,22,Male,Pune,2024-03-19,Silver,4.0,364.08,1456.34
C100018,39,Female,Delhi NCR,2025-08-14,Silver,3.0,439.45,1318.36
C100019,31,Male,Delhi NCR,2024-01-08,Platinum,2.0,397.06,794.11
C100020,29,Female,Mumbai,2023-08-29,Gold,2.0,354.64,709.29
C100021,25,Male,Chennai,2024-05-25,Silver,6.0,299.78,1798.7
C100022,42,Male,Delhi NCR,2023-04-25,Silver,7.0,349.82,2448.74
C100023,30,Male,Delhi NCR,2024-11-20,Gold,8.0,359.45,2875.58
C100024,27,Female,Ahmedabad,2023-04-14,Gold,7.0,459.18,3214.26
C100025,28,Female,Kolkata,2024-10-22,New,7.0,316.78,2217.48
C100026,36,Male,Delhi NCR,2024-01-30,Silver,6.0,293.26,1759.55
C100027,31,Female,Mumbai,2024-01-03,Gold,6.0,329.66,1977.93
C100028,35,Male,Delhi NCR,2024-09-21,Gold,9.0,409.07,3681.65
C100029,35,Male,Pune,2024-12-27,New,5.0,445.55,2227.77
C100030,50,Male,Mumbai,2025-08-14,Silver,2.0,283.0,566.01
C100031,27,Male,Jaipur,2023-10-26,Silver,4.0,382.36,1529.42
C100032,26,Male,Kolkata,2025-04-16,New,3.0,323.56,970.68
C100033,24,Female,Hyderabad,2025-05-10,Silver,7.0,235.22,1646.56
C100034,37,Male,Delhi NCR,2025-10-22,Silver,8.0,443.08,3544.61
C100035,41,Female,Ahmedabad,2025-09-20,New,6.0,381.56,2289.34
C100036,30,Female,Pune,2025-03-25,New,8.0,342.87,2742.95
C100037,23,Female,Chennai,2023-10-31,Gold,12.0,249.65,2995.82
C100038,24,Female,Delhi NCR,2024-12-16,Gold,4.0,147.41,589.63
C100039,37,Female,Pune,2025-03-19,Gold,5.0,353.01,1765.05
C100040,38,Male,Chennai,2023-10-28,Gold,7.0,303.96,2127.72
C100041,36,Female,Jaipur,2025-04-17,Platinum,7.0,291.76,2042.33
C100042,25,Male,Hyderabad,2024-12-23,Silver,2.0,435.22,870.44
C100043,33,Female,Bengaluru,2024-05-20,New,7.0,322.79,2259.52
C100044,32,Male,Bengaluru,2025-06-06,Gold,4.0,403.92,1615.69
C100045,33,Female,Pune,2023-04-01,Silver,13.0,311.31,4047.09
C100046,39,Female,Ahmedabad,2024-12-05,New,5.0,324.16,1620.79
C100047,33,Male,Hyderabad,2025-03-20,Platinum,6.0,689.15,4134.88
C100048,37,Female,Mumbai,2023-02-11,New,6.0,269.77,1618.63
C100049,32,Male,Delhi NCR,2024-02-24,Gold,7.0,366.38,2564.69
C100050,34,Male,Hyderabad,2024-06-16,Silver,3.0,292.84,878.52
C100051,37,Female,Kolkata,2023-08-03,New,7.0,323.07,2261.48
C100052,18,Male,Delhi NCR,2025-06-24,Gold,4.0,261.39,1045.57
C100053,28,Male,Bengaluru,2024-10-07,Gold,2.0,296.98,593.96
C100054,27,Male,Jaipur,2023-10-11,Silver,2.0,576.33,1152.66
