Customer_ID,Age,Gender,City,Signup_Date,Loyalty_Status
C100000,34.0,Male,Delhi NCR,2023-12-02,Silver
C100001,22.0,Male,Lucknow,2023-01-21,Gold
C100002,38.0,Male,Chennai,2024-10-10,New
C100003,39.0,Female,Ahmedabad,2023-05-17,Gold
C100004,18.0,Male,Kolkata,2025-04-07,Silver
C100005,19.0,Female,Ahmedabad,2024-07-29,Silver
C100006,32.0,Male,Bengaluru,2023-03-27,New
C100007,28.0,Female,Delhi NCR,2024-02-17,New
C100008,31.0,Male,Mumbai,2023-05-25,New
C100009,23.0,Female,Mumbai,2025-10-07,New
C100010,39.0,Female,Pune,2024-09-02,Silver
C100011,38.0,Male,Delhi NCR,2025-04-12,Silver
C100012,32.0,Female,Delhi NCR,2024-01-21,Silver
C100013,41.0,Male,Pune,2023-06-01,Silver
C100014,35.0,Female,Delhi NCR,2023-08-30,Silver
C100015,23.0,Male,Delhi NCR,2024-03-05,New
C100016,34.0,Male,Delhi NCR,2025-03-04,Gold
C100017,22.0,Male,Pune,2024-03-19,Silver
C100018,39.0,Female,Delhi NCR,2025-08-14,Silver
C100019,31.0,Male,Delhi NCR,2024-01-08,Platinum
C100020,29.0,Female,Mumbai,2023-08-29,Gold
C100021,25.0,Male,Chennai,2024-05-25,Silver
C100022,42.0,Male,Delhi NCR,2023-04-25,Silver
C100023,30.0,Male,Delhi NCR,2024-11-20,Gold
C100024,27.0,Female,Ahmedabad,2023-04-14,Gold
C100025,28.0,Female,Kolkata,2024-10-22,New
C100026,36.0,Male,Delhi NCR,2024-01-30,Silver
C100027,,Female,Mumbai,2024-01-03,Gold
C100028,35.0,Male,Delhi NCR,2024-09-21,Gold
C100029,35.0,Male,Pune,2024-12-27,New
C100030,50.0,Male,Mumbai,2025-08-14,Silver
C100031,27.0,Male,Jaipur,2023-10-26,Silver
C100032,26.0,Male,Kolkata,2025-04-16,New
C100033,24.0,Female,Hyderabad,2025-05-10,Silver
C100034,37.0,Male,Delhi NCR,2025-10-22,Silver
C100035,41.0,Female,Ahmedabad,2025-09-20,New
C100036,30.0,Female,Pune,2025-03-25,New
C100037,23.0,Female,Chennai,2023-10-31,Gold
C100038,24.0,Female,Delhi NCR,2024-12-16,Gold
C100039,37.0,Female,Pune,2025-03-19,Gold
C100040,38.0,Male,Chennai,2023-10-28,Gold
C100041,36.0,Female,Jaipur,2025-04-17,Platinum
C100042,25.0,Male,Hyderabad,2024-12-23,Silver
C100043,33.0,Female,Bengaluru,2024-05-20,New
C100044,32.0,Male,Bengaluru,2025-06-06,Gold
C100045,33.0,Female,Pune,2023-04-01,Silver
C100046,39.0,Female,Ahmedabad,2024-12-05,New
C100047,33.0,Male,Hyderabad,2025-03-20,Platinum
C100048,37.0,Female,Mumbai,2023-02-11,New
C100049,32.0,Male,Delhi NCR,2024-02-24,Gold
C100050,34.0,Male,Hyderabad,2024-06-16,Silver
C100051,37.0,Female,Kolkata,2023-08-03,New
C100052,18.0,Male,Delhi NCR,2025-06-24,Gold
C100053,28.0,Male,Bengaluru,2024-10-07,Gold
C100054,27.0,Male,Jaipur,2023-10-11,Silver
C100055,25.0,Male,Bengaluru,2024-03-26,Silver
C100056,29.0,Female,Mumbai,2023-04-26,New
C100057,44.0,Female,Mumbai,2023-04-01,New
C100058,23.0,Female,Bengaluru,2025-02-07,New
C100059,40.0,Male,Delhi NCR,2025-10-10,New
C100060,18.0,Male,Pune,2023-10-13,New
C100061,28.0,Female,Hyderabad,2023-09-10,Silver
C100062,32.0,Female,Pune,2024-12-05,New
C100063,36.0,Male,Hyderabad,2024-06-10,Silver
